ordem;processo;area;pontuacao_nao_calibrada;resultado_historico;rodada
4318;840.240/2018;4489;0.11502463811409992;0;8
4319;806.105/2017;4274;0.1148406378362409;0;8
4320;803.024/2020;618;0.1146849518247087;0;8
4321;300.939/2019;3900;0.11440043499566435;1;8
4322;860.070/2016;4102;0.11419076684812791;1;8
4323;860.598/2016;4307;0.11419076684812791;1;8
4324;861.083/2017;4121;0.1141100441212827;1;8
4325;896.354/2015;2261;0.11393077606155533;0;8
4326;861.165/2015;4477;0.1133548352010094;0;8
4327;880.016/2017;2109;0.1133391851497486;0;8
4328;300.303/2019;3848;0.11311180166377316;0;8
4329;840.112/2015;1375;0.11298811842355046;1;8
4330;815.854/2016;2327;0.11297703250931487;0;8
4331;880.001/2015;2106;0.11294189942458469;0;8
4332;815.749/2012;943;0.11287986654367173;0;8
4333;810.244/2016;3631;0.11275336963383675;1;8
4334;840.030/2015;1373;0.1126835015163214;1;8
4335;820.158/2012;4017;0.11237160858802075;0;8
4336;846.133/2017;4086;0.1123690854981153;0;8
4337;820.153/2015;4016;0.1120688452713791;0;8
4338;896.409/2007;2265;0.11184037947564689;1;8
4339;848.141/2020;4518;0.11177803094444212;0;8
4340;860.034/2016;1549;0.11158662681655887;0;8
4341;860.293/2016;1599;0.11158662681655887;1;8
4342;860.067/2016;4101;0.11158662681655887;1;8
4343;860.515/2016;4115;0.11158662681655887;0;8
4344;826.143/2015;4473;0.1114524799902573;0;8
